bid,name,pattern,subPattern,expected,got,delta,deltaAbs
4609231,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Trickl4sh 220 ~ 1st ~ (Marathon)],ln,density,1,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609229,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Rockhill ~ 2nd ~ (Marathon)],ln,density,2,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609227,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [OVERDRIVERS ~ 3rd ~ (Marathon)],ln,density,3,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609221,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Blacksphere ~ 5th ~ (Marathon)],ln,density,5,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609217,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [#FairyJoke #SDVX_Edit ~ 4th ~ (Marathon)],ln,density,4,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609220,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Berry Go!! ~ 6th ~ (Marathon)],ln,density,6,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609228,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Owari to Hajimari no Oto ~ 8th ~ (Marathon)],ln,density,8,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4614493,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Tsumibito ~ 7th ~ (Marathon)],ln,density,7,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609226,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Ordinary world ~ 9th ~ (Marathon)],ln,density,9,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609222,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Element of SPADA 1.1x ~ 10th ~ (Marathon)],ln,speed,12,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609222,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [Element of SPADA 1.1x ~ 10th ~ (Marathon)] (4609222),ln,density,10,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609219,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [asphyxia 1.05x ~ Yoake ~ (Marathon)],ln,speed,11,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609230,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [The lost ~ Yami ~ (Marathon)],ln,speed,14,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609225,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NUCLEAR-STAR ~ Yume ~ (Marathon)],ln,speed,15,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609224,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [NEURO-CLOUD-9 ~ Yoru ~ (Marathon)],ln,speed,13,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4609232,Various Artists - 4K LN Dan Courses v2 ~ Stage 4 Map Pack ~ [R U Still xxxx 1.15x ~ Yokaze ~ (Marathon)],ln,speed,16,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4351661,Laur - Kokushi musou [World's Final End (17th edit)],ln,Unsigned,17,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4517847,Ludicin - Onus Rēgulus [In Abyss],ln,Unsigned,17,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
5029140,Various Artist - 4K LN Dan Courses - EXTRA - [17th Dan - Yeehee (Marathon)],ln,Unsigned,17,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
5366651,Ludicin - Blossom of Ashes [Divination of Calamity],ln,density,14.5,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
5366777,takehirotei - 定时地狱 ~The Perpetual Chaotically Unsynced Pendulum~ [Convergence],ln,Unsigned,14,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4824023,Laur - 国士無双 [LN bukbuk],ln,Unsigned,14.8,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4732296,ウォルピスカーター - Oxalis [Imitation],ln,Unsigned,13.6,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4652576,Xyris - Eviternity [LN Eviternity],ln,Unsigned,14.4,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
3793375,ああ…翡翠茶漬け… - stεganography [Cipher Encryption],ln,Unsigned,13.8,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4398536,Various Artists - Begin's 4K LN Pack Level 3 [Nanahoshi Kangengakudan - Andromeda],ln,density,15.2,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
4398537,Various Artists - Begin's 4K LN Pack Level 3 [ROKINA - Icicle Stinger],ln,density,15.4,Invalid: LN benchmark rows are skipped by Azusa RC scope,,
2808346,Dark Sambaland[Easy](mizuki) x1.05,jack,anchor chordjack,14.6,14.58,0.02,0.02
3580764,Dark Sambaland[Easy](mizuki) x1.2,jack,anchor chordjack,16.4,16.10,0.30,0.30
3245370,Martial Arts(xingren),jack,anchor chordjack,10.5,10.53,-0.03,0.03
3245369,Martial Arts(xingren) x1.05,jack,anchor chordjack,11,11.39,-0.39,0.39
3245376,Martial Arts(xingren) x1.3,jack,anchor chordjack,14.6,14.75,-0.15,0.15
3245375,Martial Arts(xingren) x1.35,jack,anchor chordjack,15,15.10,-0.10,0.10
3245377,Martial Arts(xingren) x1.4,jack,anchor chordjack,15.4,15.60,-0.20,0.20
3887441,Echo(ice v) x1.1,jack,anchor chordjack,14.5,14.62,-0.12,0.12
4485050,Deep Down(shibeplanet) x0.95,jack,anchor chordjack,12.4,12.72,-0.32,0.32
4496828,Deep Down(shibeplanet),jack,anchor chordjack,13.4,13.72,-0.32,0.32
4485051,Deep Down(shibeplanet) x1.05,jack,anchor chordjack,13.8,14.13,-0.33,0.33
3918921,Deep Down(shibeplanet) x1.1,jack,anchor chordjack,14.4,14.67,-0.27,0.27
4485052,Deep Down(shibeplanet) x1.15,jack,anchor chordjack,15,15.07,-0.07,0.07
3918922,Deep Down(shibeplanet) x1.2,jack,anchor chordjack,15.4,15.68,-0.28,0.28
4485053,Deep Down(shibeplanet) x1.25,jack,anchor chordjack,16,16.04,-0.04,0.04
1347529,Precious You(frolica) x1.1,jack,anchor chordjack,11,11.35,-0.35,0.35
1347530,Precious You(frolica) x1.2,jack,anchor chordjack,12.8,13.14,-0.34,0.34
1347531,Precious You(frolica) x1.3,jack,anchor chordjack,14,14.04,-0.04,0.04
3875257,Zillion Lights(rachel),jack,anchor chordjack,13.8,13.86,-0.06,0.06
3875255,Zillion Lights(rachel) x1.1,jack,anchor chordjack,14.5,14.98,-0.48,0.48
3875256,Zillion Lights(rachel) x1.2,jack,anchor chordjack,15.5,16.08,-0.58,0.58
1612787,Far in the blue sky[42](1nar) x0.9,jack,anchor chordjack,13,12.96,0.04,0.04
2793588,Far in the blue sky[42](1nar) x0.95,jack,anchor chordjack,13.8,13.77,0.03,0.03
2793593,Far in the blue sky[42](1nar),jack,anchor chordjack,14.4,14.27,0.13,0.13
2793589,Far in the blue sky[42](2nar) x1.05,jack,anchor chordjack,14.7,14.94,-0.24,0.24
2793590,Far in the blue sky[42](2nar) x1.1,jack,anchor chordjack,15.4,15.33,0.07,0.07
2793591,Far in the blue sky[42](2nar) x1.15,jack,anchor chordjack,15.7,16.04,-0.34,0.34
2793592,Far in the blue sky[42](2nar) x1.2,jack,anchor chordjack,16,16.28,-0.28,0.28
2295003,Daichi ni Saku Senritsu(rachel) x1.1,jack,anchor chordjack,12,12.51,-0.51,0.51
2295004,Daichi ni Saku Senritsu(rachel) x1.2,jack,anchor chordjack,13.6,13.86,-0.26,0.26
2295005,Daichi ni Saku Senritsu(rachel) x1.3,jack,anchor chordjack,14.4,14.84,-0.44,0.44
2295006,Daichi ni Saku Senritsu(rachel) x1.4,jack,anchor chordjack,15.4,15.71,-0.31,0.31
3442422,PAM!!!(mongol) x1.1,jack,dense chordjack,13.4,13.68,-0.28,0.28
3442423,PAM!!!(mongol) x1.2,jack,dense chordjack,14.6,14.72,-0.12,0.12
3442424,PAM!!!(mongol) x1.3,jack,dense chordjack,15,15.70,-0.70,0.70
3442426,PAM!!!(mongol),jack,dense chordjack,12,12.12,-0.12,0.12
3442425,PAM!!!(mongol) x1.4,jack,dense chordjack,16.2,16.35,-0.15,0.15
4405082,Onyx Veil(ltd),jack,dense chordjack,14.5,14.11,0.39,0.39
4405077,Onyx Veil(ltd) x1.1,jack,dense chordjack,15.4,15.25,0.15,0.15
3749286,KING(ade maine) x0.95,jack,dense chordjack,14.6,15.05,-0.45,0.45
3749289,KING(ade maine),jack,dense chordjack,15.4,15.77,-0.37,0.37
3749288,KING(ade maine) x1.05,jack,dense chordjack,16,16.15,-0.15,0.15
3110936,Sendan Life(opakyl) x1.2,jack,dense chordjack,15,15.04,-0.04,0.04
1889333,CG901B[impossible](rachel) x0.9,jack,dense chordjack,11,10.77,0.23,0.23
1889340,CG902B[impossible](rachel),jack,dense chordjack,13.2,13.00,0.20,0.20
1889336,CG903B[impossible](rachel) x1.1,jack,dense chordjack,14,14.16,-0.16,0.16
1889338,CG904B[impossible](rachel) x1.2,jack,dense chordjack,15,15.19,-0.19,0.19
2808366,Tsuki Ai Tsuki Yo(zino) x1.1,jack,dense chordjack,14.6,15.06,-0.46,0.46
3321433,Exile(rachel),jack,dense chordjack,14.6,15.04,-0.44,0.44
3321436,Mutwa(rachel),jack,dense chordjack,16,16.27,-0.27,0.27
3249972,Why We Lose(ena) x1.3,jack,dense chordjack,12,12.05,-0.05,0.05
3249973,Why We Lose(ena) x1.4,jack,dense chordjack,13.4,13.18,0.22,0.22
2690149,Lemon Tree(lemmie),jack,dense chordjack,14,13.36,0.64,0.64
3663002,STRONG 280(isxi) x1.25,jack,dense chordjack,16.4,16.26,0.14,0.14
2827581,ch3rry(my angel koishi) x1.4,stamina,dense handstream,14,14.33,-0.33,0.33
2486099,Sorairo Days(icyworld) x1.5,stamina,dense handstream,14,13.98,0.02,0.02
5195214,ANOMALY(lynessa) x1.31,stamina,dense handstream,14,13.84,0.16,0.16
3123873,FUTURE DOMINATORS(icyworld),stamina,dense handstream,9,9.22,-0.22,0.22
3123869,FUTURE DOMINATORS(icyworld) x1.1,stamina,dense handstream,11,11.33,-0.33,0.33
3123870,FUTURE DOMINATORS(icyworld) x1.2,stamina,dense handstream,13.2,13.08,0.12,0.12
3123871,FUTURE DOMINATORS(icyworld) x1.3,stamina,dense handstream,14,13.93,0.07,0.07
3123872,FUTURE DOMINATORS(icyworld) x1.4,stamina,dense handstream,14.6,14.71,-0.11,0.11
5430558,Cartoon Candy(lynessa) x1.05,stamina,dense handstream,14,13.93,0.07,0.07
4681531,Cartoon Candy(lynessa) x1.2,stamina,dense handstream,15.2,15.45,-0.25,0.25
3593323,Blackmagik Blazing(teradora),stamina,dense handstream,14,13.86,0.14,0.14
3928951,Ragnarok(lynessa) x1.07,stamina,dense handstream,13.4,13.00,0.40,0.40
4421699,H.A.R.D.C.O.R.E(dannypx),stamina,dense handstream,12.8,11.42,1.38,1.38
1644635,Zenon(halogen) x1.5,stamina,dense handstream,14,13.98,0.02,0.02
3681222,CRIMSON FIGHTER[Armageddon](oxalicacid) x0.9,stamina,dense handstream,11.8,11.36,0.44,0.44
2168030,SILENT DESERT(teradora),stamina,dense handstream,14.4,13.94,0.46,0.46
3755311,SILENT DESERT(e9v2) x1.2,stamina,dense handstream,16.4,16.38,0.02,0.02
3588134,Nibelungen(lynessa) x1.1,stamina,dense handstream,13,12.51,0.49,0.49
3535954,Heavens Fall(teradora),stamina,dense handstream,9,8.90,0.10,0.10
3535945,Heavens Fall(teradora) x1.05,stamina,dense handstream,9.5,9.16,0.34,0.34
3535947,Heavens Fall(teradora) x1.1,stamina,dense handstream,10.5,10.72,-0.22,0.22
3535946,Heavens Fall(teradora) x1.15,stamina,dense handstream,11.4,11.32,0.08,0.08
3535949,Heavens Fall(teradora) x1.2,stamina,dense handstream,12.5,12.47,0.03,0.03
3535948,Heavens Fall(teradora) x1.25,stamina,dense handstream,13,13.04,-0.04,0.04
3535950,Heavens Fall(teradora) x1.35,stamina,dense handstream,14,13.89,0.11,0.11
3535952,Heavens Fall(teradora) x1.45,stamina,dense handstream,14.7,14.57,0.13,0.13
4133253,Love is War(night bunny) x1.15,stamina,dense handstream,12.4,12.47,-0.07,0.07
5407219,Love is War(night bunny) x1.33,stamina,dense handstream,14,14.15,-0.15,0.15
4632845,Dimension War(oceanus),stamina,dense handstream,15.4,14.96,0.44,0.44
4758417,KOKUSHIMUSOU(oceanus) x0.95,stamina,dense handstream,15.4,15.69,-0.29,0.29
4758412,KOKUSHIMUSOU(oceanus),stamina,dense handstream,16,16.16,-0.16,0.16
1753421,Quadraphinix(xay) x1.3,stamina,dense handstream,12.4,11.82,0.58,0.58
1753422,Quadraphinix(xay) x1.4,stamina,dense handstream,13.5,13.25,0.25,0.25
5120065,MEGALOMANIA(omni),stamina,dense handstream,14,13.77,0.23,0.23
2110279,MEGALOMANIA(rachel),stamina,dense handstream,14,13.75,0.25,0.25
3850572,Perfect Cherry Storm(teradora) x1.45,stamina,dense handstream,14.6,14.76,-0.16,0.16
4786209,Inner Universe(teradora) x1.885,stamina,dense handstream,16.6,16.21,0.39,0.39
5370949,Inner Universe(teradora) x1.755,stamina,dense handstream,15.4,15.35,0.05,0.05
1304131,Chaoz Airflow(icyworld) x1.2,stamina,dense handstream,10.4,9.22,1.18,1.18
4476886,Bluenation(xingyue) x1.2,stamina,dense handstream,11,10.71,0.29,0.29
4476891,Bluenation(xingyue) x1.4,stamina,dense handstream,13.6,13.25,0.35,0.35
4476908,Bluenation(xingyue) x1.45,stamina,dense handstream,14,13.75,0.25,0.25
3850571,STRONG 280(sp7v2),stamina,dense handstream,14.6,14.56,0.04,0.04
2292214,Serment(xingyue) x1.3,stamina,dense handstream,13.7,13.67,0.03,0.03
473228,FREEDOM DIVE(DIMENSIONS),stamina,dense jumpstream,10,10.80,-0.80,0.80
3157010,Fragment(my angel koish) x1.4,stamina,dense jumpstream,13,13.12,-0.12,0.12
1453293,Burst Linker(wafles) x1.3,stamina,dense jumpstream,12.6,12.60,0.00,0.00
5195395,Burst Linker(wafles) x1.47,stamina,dense jumpstream,14,14.06,-0.06,0.06
1938168,Cyber Inductance(icyworld) x1.3,stamina,dense jumpstream,12,12.20,-0.20,0.20
4589562,Cyber Inductance(icyworld) x1.47,stamina,dense jumpstream,14,13.88,0.12,0.12
2196122,Cyber Inductance(icyworld) x1.7,stamina,dense jumpstream,15.4,15.53,-0.13,0.13
4310620,Cyber Inductance(icyworld) x1.525,stamina,dense jumpstream,14.4,14.19,0.21,0.21
1699290,Pacific Girls(icyworld) x1.5,stamina,dense jumpstream,15,14.75,0.25,0.25
3854148,Over the Fullereneshift(fullerene) x1.4,stamina,dense jumpstream,13.8,13.81,-0.01,0.01
1425975,Japanese Transformation(fullerene) x1.2,stamina,dense jumpstream,14.5,14.70,-0.20,0.20
787944,The Empress(underjoy) x1.05,stamina,dense jumpstream,14,13.98,0.02,0.02
2701198,Time to Say Goodbye(halogen) x1.15,stamina,dense jumpstream,14,14.03,-0.03,0.03
2701200,Time to Say Goodbye(halogen) x1.2,stamina,dense jumpstream,14.4,14.40,0.00,0.00
2633097,Sakazuki(Rachel),jack,high chordjack,12.8,13.00,-0.20,0.20
4597208,Sakazuki(Rachel) x1.05,jack,high chordjack,13.4,13.71,-0.31,0.31
3630235,Sakazuki(Rachel) x1.1,jack,high chordjack,14,14.41,-0.41,0.41
3630234,Sakazuki(Rachel) x0.9,jack,high chordjack,11.8,11.03,0.77,0.77
3630236,Sakazuki(Rachel) x1.2,jack,high chordjack,14.8,15.22,-0.42,0.42
3630237,Sakazuki(Rachel) x1.3,jack,high chordjack,16,16.21,-0.21,0.21
3663000,Sakazuki(Rachel) x1.35,jack,high chordjack,16.5,16.36,0.14,0.14
3521930,Hiasobi(focogamer) x1.1,jack,high chordjack,12.8,13.13,-0.33,0.33
3521932,Hiasobi(focogamer) x1.2,jack,high chordjack,14,14.17,-0.17,0.17
3928116,Joker(Rachel),jack,high chordjack,15.4,15.33,0.07,0.07
3887322,Dark Sambaland x1.2,jack,high chordjack,13.8,13.99,-0.19,0.19
1705687,Flower Dance(hievery) x1.3,jack,high chordjack,10.6,10.19,0.41,0.41
1705688,Flower Dance(hievery) x1.4,jack,high chordjack,12,12.11,-0.11,0.11
2121684,Hitogata(ice v),jack,high chordjack,13.6,13.87,-0.27,0.27
2727203,Hitogata(ice v) x1.05,jack,high chordjack,14.4,14.53,-0.13,0.13
4387971,Hitogata(ice v) x1.15,jack,high chordjack,15,15.58,-0.58,0.58
3479384,I Love It(lynessa),jack,high chordjack,10.5,11.56,-1.06,1.06
3479388,I Love It(lynessa) x1.2,jack,high chordjack,14,14.49,-0.49,0.49
2808358,I Love It(lynessa) x1.3,jack,high chordjack,15,15.21,-0.21,0.21
4584948,Dat Phonk(smokydoh),jack,high chordjack,13.6,14.03,-0.43,0.43
4584946,Dat Phonk(smokydoh) x0.9,jack,high chordjack,12.4,12.63,-0.23,0.23
4072972,Dat Phonk(smokydoh) x1.1,jack,high chordjack,14.8,15.00,-0.20,0.20
4072973,Dat Phonk(smokydoh) x1.15,jack,high chordjack,15.1,15.47,-0.37,0.37
3841896,MURDER IN MY MIND x1.2,jack,high chordjack,13,13.08,-0.08,0.08
2802345,Hari no Sora(xingyue) x1.2,jack,high chordjack,13.6,13.68,-0.08,0.08
5430570,Hari no Sora(xingyue) x1.27,jack,high chordjack,14,14.23,-0.23,0.23
3545958,Unmeiron(ena),jack,high chordjack,14.9,14.89,0.01,0.01
3545959,Unmeiron(ena) x0.95,jack,high chordjack,14.6,14.29,0.31,0.31
2818882,Hustler(xingyue),jack,high chordjack,12.8,13.06,-0.26,0.26
3986998,Hustler(xingyue) x1.05,jack,high chordjack,13.4,13.78,-0.38,0.38
3987000,Hustler(xingyue) x1.15,jack,high chordjack,14.6,14.65,-0.05,0.05
3986995,Hustler(xingyue) x1.2,jack,high chordjack,15,15.10,-0.10,0.10
3986999,Hustler(xingyue) x1.25,jack,high chordjack,15.4,15.33,0.07,0.07
3986997,Hustler(xingyue) x1.3,jack,high chordjack,16,15.96,0.04,0.04
3509184,Seen(ena),jack,high chordjack,13.4,13.57,-0.17,0.17
3509180,Seen(ena) x1.05,jack,high chordjack,14,14.16,-0.16,0.16
3509181,Seen(ena) x1.15,jack,high chordjack,15,15.03,-0.03,0.03
3509183,Seen(ena) x1.2,jack,high chordjack,15.6,15.40,0.20,0.20
3662982,Seen(ena) x1.25,jack,high chordjack,16,16.02,-0.02,0.02
3576374,Can't Give it Up(jhown),jack,high chordjack,13,13.10,-0.10,0.10
3576378,Can't Give it Up(jhown) x1.2,jack,high chordjack,15,15.14,-0.14,0.14
2357903,Triumphal Return(doudou0310) x1.2,jack,high chordjack,13.7,14.45,-0.75,0.75
2357902,Triumphal Return(doudou0310) x1.25,jack,high chordjack,14.4,14.72,-0.32,0.32
2357904,Triumphal Return(doudou0310) x1.3,jack,high chordjack,14.8,15.12,-0.32,0.32
3526591,Triumphal Return(doudou0310) x1.4,jack,high chordjack,15.6,16.07,-0.47,0.47
3182551,Dusk(mintapril),jack,high chordjack,8,9.25,-1.25,1.25
3182552,Dusk(mintapril) x1.1,jack,high chordjack,11,11.42,-0.42,0.42
3182553,Dusk(mintapril) x1.2,jack,high chordjack,12.6,13.09,-0.49,0.49
3182554,Dusk(mintapril) x1.3,jack,high chordjack,13.6,13.95,-0.35,0.35
4633597,Darling Dance(rachel),jack,high chordjack,14,14.14,-0.14,0.14
4633595,Darling Dance(rachel) x1.1,jack,high chordjack,15,15.13,-0.13,0.13
4633594,Darling Dance(rachel) x1.15,jack,high chordjack,15.4,15.66,-0.26,0.26
4633596,Darling Dance(rachel) x1.2,jack,high chordjack,16.4,16.21,0.19,0.19
4622294,KEEP IT UP(ltd) x1.4,jack,high chordjack,16.6,16.91,-0.31,0.31
2808334,Deconstruction Star(xuecai),jack,high chordjack,13.6,14.18,-0.58,0.58
3412538,Deconstruction Star(xuecai) x1.15,jack,high chordjack,15.6,15.69,-0.09,0.09
4637635,YoiYoi Kokon(lynessa) x1.05,jack,high chordjack,13.6,13.29,0.31,0.31
4408173,GOODTEK(signicial),jack,high chordjack,15.2,14.83,0.37,0.37
2716033,The Light(blue potion),jack,high chordjack,13.6,14.11,-0.51,0.51
2963655,The Light(blue potion) x1.1,jack,high chordjack,15.8,15.07,0.73,0.73
4103082,Idol(laoxiao),jack,high chordjack,14,14.08,-0.08,0.08
3687776,Flowering(ena),jack,high chordjack,14,13.31,0.69,0.69
3687774,Flowering(ena) x1.1,jack,high chordjack,14.5,14.53,-0.03,0.03
3687775,Flowering(ena) x1.2,jack,high chordjack,16,15.23,0.77,0.77
4383327,Observation(jhown) x0.8,jack,high chordjack,14,13.99,0.01,0.01
4383328,Observation(jhown) x0.85,jack,high chordjack,14.6,14.63,-0.03,0.03
4383329,Observation(jhown) x0.9,jack,high chordjack,15.4,15.18,0.22,0.22
4383330,Observation(jhown) x0.95,jack,high chordjack,16,15.84,0.16,0.16
4383325,Observation(jhown),jack,high chordjack,16.4,16.21,0.19,0.19
4794368,Rengetsu Outa(jhown),jack,high chordjack,14,13.22,0.78,0.78
4794371,Rengetsu Outa(jhown) x1.05,jack,high chordjack,14.4,13.93,0.47,0.47
4010382,Please(hikarnayo),jack,high chordjack,14.4,14.53,-0.13,0.13
3321435,Lost One no Goukoku(rachel),jack,high chordjack,15,14.97,0.03,0.03
4387962,Break It(ice v),jack,high chordjack,15,14.81,0.19,0.19
1066057,Break(loved),jack,high chordjack,11,11.66,-0.66,0.66
3065264,Break(loved) x1.2,jack,high chordjack,14.4,14.48,-0.08,0.08
3065265,Break(loved) x1.3,jack,high chordjack,15,15.25,-0.25,0.25
3095005,Break(loved) x1.4,jack,high chordjack,16,16.22,-0.22,0.22
3816043,Bookmaker(rachel),jack,high chordjack,14.3,14.29,0.01,0.01
2862626,Bookmaker(rachel) x1.05,jack,high chordjack,14.6,14.79,-0.19,0.19
2289290,Anhedonia[38](8230),jack,high chordjack,15.2,15.30,-0.10,0.10
3125227,Anhedonia[38](8230) x0.95,jack,high chordjack,14.7,14.84,-0.14,0.14
3125228,Anhedonia[38](8230) x1.05,jack,high chordjack,15.6,15.99,-0.39,0.39
2497871,Sky is the Limit(aeyeong),jack,high chordjack,13,13.20,-0.20,0.20
1990238,Sky is the Limit(aeyeong) x1.1,jack,high chordjack,14.5,14.24,0.26,0.26
4487955,OdoRobo(jinkill) x1.1,jack,high chordjack,14.1,13.95,0.15,0.15
3476974,Don't let you down(rg8v3),jack,high chordjack,7.9,8.25,-0.35,0.35
3476968,Kikai Shoujo Gensou(rg9v3),jack,high chordjack,8.5,9.25,-0.75,0.75
3824604,Hifumi Daisuki[Hard](Magikarp1234),jack,high chordjack,13.6,13.19,0.41,0.41
4010826,Re Aoharu(magikarp),jack,high chordjack,4.8,3.99,0.81,0.81
4388484,hurricanic(stupud man),speed,high stream,14,13.95,0.05,0.05
3171267,hurricanic(stupud man) x1.05,speed,high stream,14.4,14.37,0.03,0.03
4388482,hurricanic(stupud man) x1.1,speed,high stream,15,14.74,0.26,0.26
4388481,hurricanic(stupud man) x1.15,speed,high stream,15.4,15.15,0.25,0.25
4388483,hurricanic(stupud man) x1.2,speed,high stream,16,15.81,0.19,0.19
3358944,Volcanic(attang) x0.8,speed,high stream,11,9.18,1.82,1.82
3358945,Volcanic(attang) x0.9,speed,high stream,12.5,12.23,0.27,0.27
2808935,Volcanic(attang) x1.05,speed,high stream,14.4,14.08,0.32,0.32
3358946,Volcanic(attang) x1.1,speed,high stream,15,14.59,0.41,0.41
2965239,Volcanic(attang) x1.15,speed,high stream,15.4,14.98,0.42,0.42
3358947,Volcanic(attang) x1.2,speed,high stream,16,15.33,0.67,0.67
3321837,Yozakura(ska) x0.9,speed,high stream,13.6,12.93,0.67,0.67
3321838,Yozakura(ska) x0.95,speed,high stream,14,13.53,0.47,0.47
3321840,Yozakura(ska),speed,high stream,14.3,14.05,0.25,0.25
3321839,Yozakura(ska) x1.05,speed,high stream,14.6,14.43,0.17,0.17
1455991,Moon Gate x1.2,speed,high stream,14.6,14.28,0.32,0.32
5255749,Moon Gate x1.25,speed,high stream,15,14.73,0.27,0.27
5195385,Blue Noah 2006[Lv.28](attang) 0.95,speed,high stream,14,13.53,0.47,0.47
1496206,Blue Noah 2006[Lv.28](attang),speed,high stream,14.6,13.97,0.63,0.63
1644632,Blue Noah 2006[Lv.28](attang) x1.1,speed,high stream,15.4,14.97,0.43,0.43
1990237,Angel Dust(tachyon) x1.1,speed,high stream,14.4,14.12,0.28,0.28
3294543,Misery(signicial) x1.1,speed,high stream,14,14.16,-0.16,0.16
3294542,Misery(signicial) x1.15,speed,high stream,14.6,14.43,0.17,0.17
3294546,Misery(signicial) x1.2,speed,high stream,15,14.90,0.10,0.10
3294544,Misery(signicial) x1.25,speed,high stream,15.4,15.24,0.16,0.16
3294549,Misery(signicial) x1.3,speed,high stream,16,15.73,0.27,0.27
3294547,Misery(signicial) x1.35,speed,high stream,16.4,16.07,0.33,0.33
2875457,Angel's Salad(penguinosity),tech,jack tech,11,11.36,-0.36,0.36
2860220,Forgotten[Collab(2015)],tech,jack tech,11,10.85,0.15,0.15
2860210,Forgotten[Collab(2015)] x1.05,tech,jack tech,12,11.98,0.02,0.02
2860212,Forgotten[Collab(2015)] x1.1,tech,jack tech,12.4,12.59,-0.19,0.19
3755586,Odoru Mizushibuki x1.2,tech,jack tech,12.6,12.85,-0.25,0.25
3755587,Odoru Mizushibuki x1.3,tech,jack tech,13.6,13.95,-0.35,0.35
3755588,Odoru Mizushibuki x1.4,tech,jack tech,14.6,14.66,-0.06,0.06
3168876,Odoru Mizushibuki x1.43,tech,jack tech,15,14.82,0.18,0.18
3824635,Usagi Flap[Tech](Magikarp1234),tech,jack tech,10.5,10.16,0.34,0.34
4606873,Still Into You(ska) x1.16,tech,jack tech,13.4,13.69,-0.29,0.29
3322182,BLUE ARMY[UNFORGIVING ASSAULT],stamina,light handstream,13.4,13.20,0.20,0.20
4610329,BLUE ARMY[UNFORGIVING ASSAULT] x1.06,stamina,light handstream,13.8,13.87,-0.07,0.07
3645838,The Empress(underjoy) x1.1,stamina,light handstream,14.6,14.47,0.13,0.13
3645837,The Empress(underjoy) x1.15,stamina,light handstream,15,15.00,0.00,0.00
5194163,Firmament Castle Velier x1.3,stamina,light handstream,14,13.78,0.22,0.22
4589591,Speed of Link[Tachyon](shoegazer) 1.23,stamina,light jumpstream,14,14.05,-0.05,0.05
3348224,FAKE PROMISE(shoegazer) x1.4,stamina,light jumpstream,12.8,12.61,0.19,0.19
2972845,Gekka Bijin(hylotl),stamina,light jumpstream,14.4,14.31,0.09,0.09
2567896,The Fate of(blessia),stamina,light jumpstream,14,14.06,-0.06,0.06
1887431,Aquaris(snover) x1.2,jack,low chordjack,13,12.94,0.06,0.06
1426702,Double Universe(hydria),jack,low chordjack,14,14.07,-0.07,0.07
3476969,Koi Kou Enishi(rg3v3),jack,low chordjack,3.6,3.60,0.00,0.00
3476970,Umiyuri Kaiteitan(rg4v3),jack,low chordjack,4.1,4.61,-0.51,0.51
3476971,Platinum Disco(rg5v3),jack,low chordjack,5,5.00,0.00,0.00
3476972,Chocolate Disco(rg6v3),jack,low chordjack,5.8,5.01,0.79,0.79
